,literacy_home,risk_factors,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y,aspired_occ_b_-1,aspired_occ_b_1,aspired_occ_b_2,aspired_occ_b_3,aspired_occ_b_4,aspired_occ_b_5,aspired_occ_b_6,aspired_occ_b_7,aspired_occ_b_8,aspired_occ_b_9,aspired_occ_b_10,aspired_occ_b_11,aspired_occ_b_12,aspired_occ_b_13,aspired_occ_b_14,aspired_occ_b_15,aspired_occ_b_16,aspired_occ_b_17,aspired_occ_1_-1,aspired_occ_1_1,aspired_occ_1_2,aspired_occ_1_3,aspired_occ_1_4,aspired_occ_1_5,aspired_occ_1_6,aspired_occ_1_7,aspired_occ_1_8,aspired_occ_1_9,aspired_occ_1_10,aspired_occ_1_11,aspired_occ_1_12,aspired_occ_1_13,aspired_occ_1_14,aspired_occ_1_15,aspired_occ_1_16,aspired_occ_1_17
151,2,0,52.01,47.21,1.7719999999999998,-1.74,0.037899999999999975,0,1,6,1,1,6,48.94,5,1,5,1,-0.12349999999999998,24,4,2.0,144.0,148.16,141.63,244.7,576,11589.9,0.0,3407680.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,3,1,70.65,72.6,0.7809999999999999,0.331,1.9509999999999998,0,3,9,2,0,8,71.22,6,6,0,1,1.159,34,6,1.0,306.0,214.47,290.4,427.32,1836,30861.960000000003,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2,0,45.87,47.1,-0.5052,-0.15509999999999996,-0.09810000000000005,2,1,8,4,1,8,41.28,6,2,2,1,-0.20259999999999997,26,4,1.0,192.2,134.25,151.448,247.68,697,13622.356,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,3,1,45.7,45.73,0.121,-0.68,-0.703,4,1,9,3,0,3,40.75,4,2,6,5,-0.259,22,2,2.0,198.0,132.18,182.92,163.0,396,10723.519999999999,6.0,330450.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,3,0,58.73,67.54,0.82,1.5959999999999999,0.812,2,1,6,2,0,7,56.9,6,5,1,3,1.024,26,5,1.0,156.0,183.17000000000002,270.16,341.4,780,19569.92,0.0,4029740.0000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,3,0,53.79,51.65,-0.42,-1.225,0.544,2,2,10,2,6,6,52.53,6,4,6,2,1.811,29,4,1.0,290.0,157.97,206.6,315.18,1160,20349.42,0.0,6002860.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,3,0,60.87,59.41,1.5330000000000001,1.5959999999999999,0.515,1,2,7,4,0,7,58.27,6,1,6,8,1.024,22,4,1.0,154.0,178.55,237.64,349.62,616,17030.54,0.0,7142000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,2,0,66.65,60.27,-1.831,1.5959999999999999,0.10200000000000001,1,6,10,3,6,6,65.55,6,1,3,3,0.3372,24,5,1.0,240.0,192.47000000000003,180.81,393.29999999999995,1200,19519.739999999998,5.1,2309640.0000000005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,2,0,58.3,68.16,0.7809999999999999,-0.11800000000000001,1.9509999999999998,0,2,5,8,2,7,61.26,6,1,2,1,0.779,25,6,1.0,125.0,187.72,204.48,367.56,750,17161.199999999997,0.0,10324600.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2,4,53.41,36.98,0.542,0.958,1.001,0,1,12,1,0,6,52.34,6,3,3,1,0.254,24,5,2.0,288.0,142.73,110.94,314.04,1440,15299.28,8.0,11418400.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,2,2,47.56,34.89,-0.5079999999999999,-0.23840000000000003,-0.898,1,1,8,4,0,8,45.62,3,5,0,2,0.51,23,4,2.0,221.8,128.07,104.67,136.85999999999999,711,7555.192,12.9,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,3,0,72.83,65.7,0.23900000000000002,0.4085,1.001,0,1,22,1,1,7,70.55,6,2,5,2,1.5330000000000001,27,6,1.0,594.0,209.07999999999998,262.8,423.29999999999995,3564,33618.899999999994,0.0,3763439.9999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
