,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,hs_gpa,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
8192,3.0,0.0,-1.0,39.84,48.44,-0.8690000000000001,-0.11800000000000001,0.812,0.0,2.0,4.0,5.0,0.0,9.0,-1.0,41.76,5.0,1.0,0.0,3.0,-1.28,23.0,5.0,2.0,9.0,130.04,193.76,208.79999999999998,9.0,3623.0399999999995,0.0,1170360.0,0.0
12771,,,,61.73,61.32,,,,,,,,,7.0,10.0,49.84,6.0,5.0,0.0,1.0,,12.0,6.0,1.0,,172.89,,299.04,,,,9681840.0,0.0
14543,0.0,,-1.0,57.54,43.88,0.5710000000000001,0.331,-0.703,0.0,0.0,2.0,1.0,0.0,6.0,-1.0,50.15,5.0,0.0,4.0,3.0,-0.509,23.0,5.0,1.0,7.0,151.57,43.88,250.75,0.0,2062.41,,0.0,0.0
6527,3.0,1.0,15.0,46.07,50.05,1.296,1.146,1.001,,4.0,5.0,5.0,0.0,6.0,9.0,45.41,5.0,4.0,6.0,2.0,0.528,27.0,6.0,1.0,11.0,141.53,200.2,227.04999999999998,44.0,4699.75,5.5280000000000005,3962840.0,0.0
5020,,0.0,9.0,53.56,59.9,,,1.001,0.0,2.0,12.0,0.0,0.0,7.0,9.0,57.24,4.0,1.0,4.0,2.0,,25.0,3.0,1.0,15.0,170.70000000000002,,228.96,15.0,,,3414000.0000000005,1.0
1004,2.0,,-1.0,52.38,50.17,-0.63,-0.9329999999999999,-0.898,0.0,0.0,12.0,3.0,5.0,6.0,-1.0,39.91,5.0,0.0,,2.0,1.035,25.0,3.0,1.0,15.0,142.46,150.51,199.54999999999998,0.0,5250.9,,35615000.0,1.0
7797,3.0,1.0,-1.0,59.16,57.32,-0.63,-1.456,-0.8240000000000001,1.0,1.0,4.0,,1.0,6.0,-1.0,66.77,6.0,2.0,0.0,2.0,-0.755,26.0,5.0,1.0,9.0,183.25,229.28,400.62,18.0,5669.099999999999,,7330000.0,1.0
759,2.0,0.0,12.0,48.21,43.51,0.37200000000000005,-0.38,-0.435,7.0,0.0,3.0,0.0,0.0,6.0,-1.0,45.84,5.0,2.0,0.0,1.0,0.528,24.0,3.0,2.0,6.0,137.56,130.53,229.20000000000002,12.0,2158.38,0.0,4814600.0,0.0
1640,3.0,,10.0,36.3,43.27,0.121,0.14300000000000002,-0.13699999999999998,2.0,1.0,4.0,,0.0,8.0,10.0,39.63,6.0,5.0,6.0,,0.281,27.0,5.0,1.0,9.0,119.19999999999999,173.08,237.78000000000003,45.0,3697.7400000000002,,3218399.9999999995,0.0
4464,,1.0,9.0,39.55,41.67,,,1.9509999999999998,0.0,1.0,15.0,3.0,0.0,6.0,9.0,61.26,6.0,3.0,1.0,2.0,0.495,25.0,6.0,1.0,21.0,142.48,,367.56,63.0,,3.495,3989439.9999999995,1.0
