,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
14183,2.0,2.0,-1.0,48.74,51.65,-0.392,-2.197,0.247,2.0,0.0,25.0,8.0,0.0,9.0,12.0,42.5,5.0,3.0,6.0,8.0,-0.757,26.0,2.0,2.0,650.0,142.89,154.95,212.5,1300.0,18739.95,32.0,714449.9999999999,1.0
11483,2.0,1.0,10.0,54.47,58.3,-0.63,-0.6409999999999999,0.052000000000000005,2.0,1.0,16.0,1.0,1.0,7.0,9.0,54.13,6.0,3.0,5.0,2.0,-0.51,28.0,4.0,1.0,448.0,166.9,174.89999999999998,324.78000000000003,1792.0,21985.920000000002,3.0,1669000.0,0.0
10833,2.0,2.0,16.0,79.49,61.14,1.7719999999999998,-0.07200000000000001,-0.898,1.0,0.0,13.0,3.0,0.0,7.0,-1.0,71.85,6.0,0.0,0.0,8.0,,29.0,5.0,1.0,377.0,212.48,183.42000000000002,431.09999999999997,1885.0,25809.84,22.0,0.0,1.0
11296,2.0,2.0,2.0,63.19,62.0,,,-0.41100000000000003,1.0,2.0,5.0,1.0,0.0,6.0,-1.0,54.91,5.0,7.0,5.0,1.0,-0.755,26.0,3.0,2.0,130.0,180.1,186.0,274.54999999999995,390.0,14277.05,4.0,2161200.0,1.0
7381,3.0,2.0,4.0,50.51,46.96,-1.329,0.52,1.464,3.0,1.0,,2.0,0.0,4.0,4.0,47.46,5.0,4.0,1.0,3.0,-2.039,26.0,5.0,2.0,,144.93,187.84,237.3,,,10.0,4637760.0,1.0
13595,2.0,0.0,-1.0,68.84,64.83,0.846,-0.41,1.9509999999999998,0.0,5.0,14.0,2.0,0.0,8.0,-1.0,67.16,6.0,4.0,1.0,1.0,1.27,27.0,6.0,1.0,378.0,200.83,194.49,402.96,2268.0,24495.45,0.0,12652290.0,1.0
15715,3.0,0.0,,64.01,64.22,,,-0.41100000000000003,,3.0,12.0,,,8.0,10.0,61.62,6.0,2.0,0.0,2.0,1.548,23.0,5.0,1.0,276.0,189.85000000000002,256.88,369.71999999999997,1380.0,21930.999999999996,,0.0,0.0
13516,3.0,0.0,10.0,57.27,55.84,0.836,0.585,0.733,3.0,2.0,,2.0,0.0,8.0,-1.0,56.86,6.0,9.0,1.0,2.0,0.773,26.0,5.0,1.0,,169.97000000000003,223.36,341.15999999999997,,,0.0,10198200.000000002,1.0
3533,3.0,0.0,10.0,57.7,56.21,0.14800000000000002,1.4069999999999998,1.9509999999999998,2.0,4.0,13.0,1.0,2.0,6.0,10.0,55.68,6.0,5.0,3.0,1.0,0.522,31.0,6.0,1.0,403.0,169.59,224.84,334.08,2418.0,24592.48,0.0,8818680.0,0.0
11465,,,,42.24,43.5,,,,,,,,,8.0,10.0,48.25,6.0,5.0,5.0,,,27.0,5.0,1.0,,133.99,,289.5,,,,0.0,1.0
3375,2.0,1.0,10.0,46.51,52.02,-1.1059999999999999,0.585,1.025,3.0,2.0,4.0,3.0,2.0,7.0,9.0,46.64,4.0,3.0,7.0,1.0,-1.531,26.0,4.0,2.0,104.0,145.17000000000002,156.06,186.56,416.0,10278.6,4.0,725850.0000000001,1.0
7103,2.0,1.0,16.0,62.17,58.55,0.5710000000000001,0.331,1.001,1.0,0.0,14.0,0.0,0.0,9.0,-1.0,60.21,5.0,4.0,2.0,1.0,,26.0,6.0,1.0,364.0,180.93,175.64999999999998,301.05,2184.0,19068.0,1.0,6151620.0,1.0
8163,,,,40.54,39.92,,,,,,,,,4.0,9.0,36.86,4.0,0.0,2.0,1.0,,17.0,2.0,3.0,,117.32000000000001,,147.44,,,,1173200.0,0.0
5905,2.0,,10.0,41.76,44.87,-0.42,-0.9329999999999999,-0.24600000000000002,0.0,1.0,3.0,4.0,4.0,6.0,6.0,44.62,4.0,3.0,5.0,4.0,-0.7709999999999999,23.0,4.0,2.0,69.0,131.25,134.60999999999999,178.48,276.0,8140.339999999999,,3281250.0,0.0
9193,2.0,1.0,9.0,50.78,42.28,-0.8959999999999999,-0.9329999999999999,0.052000000000000005,1.0,0.0,7.0,3.0,0.0,7.0,-1.0,61.22,6.0,2.0,1.0,3.0,0.483,24.0,5.0,1.0,168.0,154.28,126.84,367.32,840.0,15318.96,6.0,4628400.0,0.0
9182,2.0,2.0,9.0,56.81,52.63,,,,0.0,0.0,2.0,5.0,0.0,9.0,11.0,56.2,5.0,3.0,4.0,,0.032,23.0,3.0,2.0,46.0,165.64,157.89000000000001,281.0,138.0,10972.25,,4969200.0,0.0
1953,2.0,1.0,-1.0,73.69,66.44,0.7809999999999999,0.331,0.052000000000000005,0.0,5.0,14.0,3.0,2.0,7.0,9.0,68.02,6.0,6.0,2.0,3.0,0.265,32.0,6.0,1.0,448.0,208.14999999999998,199.32,408.12,2688.0,27942.24,6.0,9783049.999999998,1.0
8548,1.0,4.0,12.0,34.78,39.45,,,-0.7090000000000001,2.0,0.0,9.0,5.0,0.0,4.0,12.0,41.85,4.0,2.0,5.0,3.0,-0.7609999999999999,22.0,4.0,2.0,198.0,116.08000000000001,78.9,167.4,792.0,7635.3,32.0,580400.0000000001,1.0
14391,3.0,0.0,9.0,61.74,55.84,-0.8690000000000001,-0.11800000000000001,0.812,0.0,2.0,13.0,0.0,1.0,4.0,16.0,55.23,5.0,1.0,1.0,1.0,0.019,28.0,4.0,2.0,364.0,172.81,223.36,276.15,1456.0,20479.91,0.0,6048350.0,0.0
8185,3.0,1.0,9.0,57.8,55.22,,,-0.898,2.0,0.0,2.0,1.0,2.0,6.0,-1.0,47.52,6.0,1.0,0.0,2.0,0.795,23.0,4.0,2.0,46.0,160.54,220.88,285.12,184.0,12650.0,3.0,240810.0,0.0
13190,3.0,1.0,9.0,48.44,56.82,,,0.733,2.0,0.0,24.0,2.0,0.0,6.0,14.0,48.33,6.0,6.0,8.0,3.0,,28.0,4.0,2.0,672.0,153.58999999999997,227.28,289.98,2688.0,26897.52,5.0,6911549.999999999,1.0
12569,,1.0,,39.02,40.93,,,-1.847,1.0,0.0,8.0,4.0,,4.0,8.0,39.23,6.0,2.0,6.0,3.0,0.773,22.0,2.0,2.0,176.0,119.18,,235.38,352.0,,7.0,101898.90000000001,0.0
10602,1.0,1.0,9.0,49.6,55.22,-1.831,0.07,,0.0,0.0,12.0,8.0,0.0,7.0,16.0,51.19,4.0,1.0,0.0,7.0,,21.0,3.0,2.0,252.0,156.01,110.44,204.76,756.0,10401.6,15.0,624040.0,0.0
7901,3.0,0.0,12.0,56.79,51.4,-0.154,0.331,,0.0,0.0,19.0,7.0,0.0,6.0,-1.0,47.27,5.0,0.0,4.0,5.0,-0.001,23.0,4.0,1.0,437.0,155.46,205.6,236.35000000000002,1748.0,18561.9,0.0,4041960.0,0.0
4570,3.0,0.0,2.0,49.85,48.94,0.095,-0.664,-0.898,0.0,1.0,7.0,2.0,0.0,9.0,2.0,50.05,5.0,0.0,4.0,2.0,,23.0,2.0,2.0,161.0,148.83999999999997,195.76,250.25,322.0,13380.3,0.0,5507079.999999999,1.0
5836,3.0,0.0,9.0,49.92,50.17,0.818,0.877,-1.3840000000000001,1.0,1.0,8.0,3.0,0.0,4.0,10.0,46.43,5.0,5.0,6.0,3.0,0.773,32.0,4.0,2.0,256.0,146.52,200.68,232.15,1024.0,17313.2,0.0,3809520.0000000005,1.0
14926,2.0,1.0,-1.0,71.02,62.49,,,,2.0,4.0,22.0,5.0,2.0,8.0,9.0,71.15,6.0,5.0,2.0,1.0,,26.0,5.0,1.0,572.0,204.66,187.47,426.90000000000003,2860.0,29489.760000000002,6.0,3683880.0,0.0
